journey_id,journey_duration,end_date,end_month,end_year,end_hour,end_minute,end_station_id,start_date,start_month,start_year,start_hour,start_minute,start_station_id
1,600,16,9,17,14,36,1,16,9,17,14,26,36
2,420,14,9,17,15,33,2,14,9,17,15,26,124
3,480,13,9,17,15,31,3,13,9,17,15,23,23
4,660,15,9,17,7,58,4,15,9,17,7,47,103
5,1560,16,9,17,12,35,5,16,9,17,12,9,82
6,600,14,9,17,18,8,6,14,9,17,17,58,111
7,1020,13,9,17,20,1,7,13,9,17,19,44,146
8,660,18,9,17,20,51,8,18,9,17,20,40,96
9,1620,16,9,17,22,51,9,16,9,17,22,24,65
10,600,14,9,17,12,1,10,14,9,17,11,51,104
11,720,15,9,17,13,37,11,15,9,17,13,25,78
12,1080,18,9,17,8,51,12,18,9,17,8,33,54
13,780,19,9,17,17,52,13,19,9,17,17,39,77
14,420,15,9,17,8,1,14,15,9,17,7,54,62
15,780,18,9,17,8,4,15,18,9,17,7,51,75
16,240,16,9,17,8,53,16,16,9,17,8,49,130
17,2760,16,9,17,13,50,17,16,9,17,13,4,127
18,1800,19,9,17,15,21,18,19,9,17,14,51,2
19,720,17,9,17,17,12,19,17,9,17,17,0,8
20,660,19,9,17,14,12,20,19,9,17,14,1,21
21,720,17,9,17,17,12,21,17,9,17,17,0,7
22,1500,16,9,17,17,52,22,16,9,17,17,27,79
23,900,18,9,17,7,47,23,18,9,17,7,32,43
24,420,16,9,17,15,12,24,16,9,17,15,5,26
25,540,15,9,17,9,30,25,15,9,17,9,21,122
26,540,13,9,17,17,41,26,13,9,17,17,32,97
27,960,14,9,17,15,58,27,14,9,17,15,42,14
28,240,14,9,17,7,31,28,14,9,17,7,27,133
29,540,16,9,17,11,2,29,16,9,17,10,53,46
30,540,16,9,17,8,3,30,16,9,17,7,54,116
31,660,15,9,17,16,29,31,15,9,17,16,18,126
32,480,19,9,17,9,25,32,19,9,17,9,17,94
33,1020,19,9,17,13,43,33,19,9,17,13,26,100
34,720,15,9,17,19,8,34,15,9,17,18,56,58
35,240,19,9,17,14,44,35,19,9,17,14,40,117
36,1620,18,9,17,17,34,36,18,9,17,17,7,12
37,840,16,9,17,19,47,37,16,9,17,19,33,63
38,480,16,9,17,21,8,38,16,9,17,21,0,141
39,1020,18,9,17,19,32,39,18,9,17,19,15,55
40,900,15,9,17,13,21,40,15,9,17,13,6,69
41,900,15,9,17,8,8,41,15,9,17,7,53,72
42,1560,16,9,17,12,35,42,16,9,17,12,9,89
43,780,13,9,17,17,52,43,13,9,17,17,39,74
44,1140,14,9,17,12,17,44,14,9,17,11,58,145
45,720,16,9,17,17,44,45,16,9,17,17,32,67
46,780,15,9,17,17,38,46,15,9,17,17,25,13
47,1020,16,9,17,16,10,47,16,9,17,15,53,140
48,600,13,9,17,13,23,48,13,9,17,13,13,93
49,1140,15,9,17,10,18,49,15,9,17,9,59,45
50,960,18,9,17,18,36,50,18,9,17,18,20,41
51,540,15,9,17,18,41,51,15,9,17,18,32,57
52,840,13,9,17,8,7,52,13,9,17,7,53,71
53,240,18,9,17,14,14,53,18,9,17,14,10,108
54,480,15,9,17,19,9,54,15,9,17,19,1,149
55,600,15,9,17,9,30,55,15,9,17,9,20,95
56,360,19,9,17,7,15,56,19,9,17,7,9,61
